"TF","LT.HSC_001","LT.HSC_002","LT.HSC_003","LT.HSC_004","LT.HSC_006","LT.HSC_009","LT.HSC_010","LT.HSC_012","LT.HSC_013","LT.HSC_014","LT.HSC_015","LT.HSC_016","LT.HSC_017","LT.HSC_018","LT.HSC_020","LT.HSC_021","LT.HSC_022","LT.HSC_023","LT.HSC_024","LT.HSC_026","LT.HSC_028","LT.HSC_031","LT.HSC_032","LT.HSC_033","LT.HSC_034","LT.HSC_036","LT.HSC_039","LT.HSC_040","LT.HSC_041","LT.HSC_043","LT.HSC_044","LT.HSC_045","LT.HSC_046","LT.HSC_049","LT.HSC_050","LT.HSC_051","LT.HSC_052","LT.HSC_054","LT.HSC_055","LT.HSC_056","LT.HSC_057","LT.HSC_058","LT.HSC_060","LT.HSC_062","LT.HSC_063","LT.HSC_064","LT.HSC_065","LT.HSC_066","LT.HSC_068","LT.HSC_069","LT.HSC_070","LT.HSC_071","LT.HSC_072","LT.HSC_073","LT.HSC_074","LT.HSC_075","LT.HSC_076","LT.HSC_077","LT.HSC_078","LT.HSC_080","LT.HSC_081","LT.HSC_082","LT.HSC_085","LT.HSC_086","LT.HSC_088","LT.HSC_089","LT.HSC_090","LT.HSC_091","LT.HSC_093","LT.HSC_094","LT.HSC_095","LT.HSC_096","LT.HSC_098","LT.HSC_100","LT.HSC_101","LT.HSC_102","LT.HSC_103","LT.HSC_105","LT.HSC_106","LT.HSC_107","LT.HSC_109","LT.HSC_110","LT.HSC_111","LT.HSC_112","LT.HSC_113","LT.HSC_114","LT.HSC_115","LT.HSC_116","LT.HSC_117","LT.HSC_120","LT.HSC_122","LT.HSC_123","LT.HSC_124","LT.HSC_125","LT.HSC_126","LT.HSC_128","LT.HSC_130","LT.HSC_131","LT.HSC_132","LT.HSC_137","LT.HSC_138","LT.HSC_139","LT.HSC_140","LT.HSC_142","LT.HSC_144","LT.HSC_145","LT.HSC_146","LT.HSC_147","LT.HSC_148","LT.HSC_149","LT.HSC_150","LT.HSC_151","LT.HSC_152","LT.HSC_156","LT.HSC_158","LT.HSC_159","LT.HSC_161","LT.HSC_163","LT.HSC_164","LT.HSC_165","LT.HSC_166","LT.HSC_167","LT.HSC_169","LT.HSC_170","LT.HSC_171","LT.HSC_172","LT.HSC_173","LT.HSC_174","LT.HSC_176","LT.HSC_177","LT.HSC_179","LT.HSC_180","LT.HSC_183","LT.HSC_184","LT.HSC_187","LT.HSC_188","LT.HSC_191","LT.HSC_192","LT.HSC_193","LT.HSC_194","LT.HSC_195","LT.HSC_197","LT.HSC_198","LT.HSC_200","LT.HSC_201","LT.HSC_204","LT.HSC_206","LT.HSC_207","LT.HSC_208","LT.HSC_210","LT.HSC_211","LT.HSC_212","LT.HSC_213","LT.HSC_214","LT.HSC_215","LT.HSC_216"
"ENSMUSG00000063383",0,0,0,0,0,0,0,0,0,1.82526587382885,0,0,0,0,0,0,0,1.24235477174918,0,0,0,0,0.101000101328076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2889499419236,0,0,0,0,0.620190101473768,0,0.590116300441331,0,0,2.18488192123304,1.09429605226365,0,0,2.36958958623652,8.28513896113402,0,0,0,0,0,0,0,0,0,0,0,2.52050993791849,0,0,0,0,0.462823577673961,0,1.41170848860352,0,0,0,0,0,0,1.87870372837215,0,0,0,0,0,0,0,0,0,0,0,1.78896670850251,0,0,0,0,0,0.684837757091825,0,0,0,0,0,4.91279453204663,0,1.25649328377536,1.44132055175372,0,0,0,0,0,0.913293888200977,1.2875062125702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964905601859982,0,0,0,0,0,1.25510259961236,0,1.37384356518434,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000044501",0,0,2.49158634307981,3.15763149429504,8.72660884879866,0,0,1.5708539180375,0,0,0,0,0,0,6.91949200560598,0,0,1.24235477174918,5.8207915100229,1.39401844664854,0.845508315181635,3.21766566989627,0.283981109921558,1.05964127416265,0,8.34370960822514,0,7.91894811278628,1.79807507476446,7.46478882409186,2.35398405341526,1.63622250766318,1.39717585125172,2.06586056310887,0,8.53199911699896,0,0,7.89507179928775,4.21200589979028,0,0.680908486296312,0,0,0,1.12561390275763,0,1.87001854625939,0.827204512593852,7.97929580536189,4.28299766376469,0,0.740755741907091,3.30586456267481,0,1.09429605226365,0,0,2.36958958623652,0,0.588955029896718,0.489529460442979,0,0,2.60740623034406,0,0,0.837954695816242,0.887910647790953,1.87002213429583,0.630377941345459,0,0,1.25000339679673,0,0.514306431514247,0,0,0,0,0,0,0,8.58140511647892,1.69937339729199,1.87870372837215,7.10655259828654,1.94382204127877,1.32818248936409,0,0,8.36237047156563,0,1.44327841884737,1.92481085966015,0.817700894586727,1.09517686785339,0.862794676097262,0,0.945578721364039,0,0,0,0.684837757091825,0,1.29017527474048,6.53429465318479,0,0,1.86692669209532,5.27344875639668,0,1.44132055175372,0,0,0,0,0,1.46815635281221,8.3325101202249,0,0,2.33725204080983,0,0,1.76182146942908,0,0,8.869852804084,2.52714975853563,0.542661491960581,1.82545782858332,8.48521235533889,0,1.22819786149267,6.94775905108691,2.74665991580776,0,3.66753876069182,0,0.681799382347176,0,0,2.16969813444105,0,2.50064427660473,0,0,1.1593222739744,1.43079305888395,1.22846814583548,1.68743497995824,0,0,0.616255804805335,0
"ENSMUSG00000074220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69955938633943,0,0,0.541525224660689,0,4.45665896771661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15055343338372,0,0,6.25567190840747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36697002742986,0,0,0,0.514306431514247,0,0,0,0,0,0,7.73715282072288,0,0,0,0,0,0,0,0,1.95533016715751,1.43776824744877,0,0,8.43652611106707,0,0.862794676097262,0,0,0,0,0,0,0,0,1.02161524113735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896650730110461,0,0,0,0,0,0,0,0,0,0.542661491960581,0,0,0,0,0,0,0,0,0,0.681799382347176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002249",0,0,0,6.55616437310338,0,0,0,0,0,0,5.64966808222523,1.29642349985612,0,0,1.09987384524541,0.848320444810964,0,0,0,0,0,0.872064706928352,0,0,0,0.541525224660689,0,0,0,0.312734688005979,0,0,0,2.06586056310887,0,0,0,0,0,0,7.82514252401161,0,0.478210067900442,0,0,0,0,0,0,0,0,0.590116300441331,0,0,0,0,0,0,5.63302362274598,0,0.588955029896718,0,0,0,1.43190294461854,0,0,0.336288793523637,0.887910647790953,1.87002213429583,0.630377941345459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460329275232209,1.27716209536501,0,0,0,0,0,0,0,1.33639177114135,0,0,1.47118075272525,0,0,0.669781659387376,0,0,0,1.29017527474048,1.02161524113735,0,0,0,0,0.548976815282572,0,0.760226285804745,0,0,0,0,0,0,0,1.56817860340828,5.22806930409644,1.32046637386361,0,0,0,0,0,1.37189658146623,0,0.886015401610361,0,0,2.3300491857154,1.17782213077766,0,0,0,0,0,1.6835927122655,0,0,0,0,0,0,0,0,0,1.07752860463315,0,0,0,0
"ENSMUSG00000007812",2.57952782006804,5.45226154373483,7.83019219633224,1.57575220513395,3.51537574301103,2.6678040031293,0,1.5708539180375,3.30584210941915,0,1.4632082392295,2.77078023386297,8.69711148620803,2.00898391318015,9.44090904868228,0,3.41593163835878,8.78398589592233,7.76948613862617,2.08956381472643,2.31744553502844,1.8035747606308,7.77325545203346,1.05964127416265,7.1640605542572,7.06127450308943,6.67494447247912,7.37995275150273,7.97288491958944,0.312734688005979,3.44222936960167,7.62272019089516,0.86150080082926,3.78108119902987,2.50372924607337,3.6902312208058,0,3.51444382253483,0.6740833798422,1.35527997280418,8.60978716684468,5.9381657125969,8.38319931270902,0,1.05840382615716,5.9919303500726,1.34674341170981,1.21889670009124,1.34964167848499,3.61807790918326,3.55737622196502,9.7132243981359,1.22780387493217,3.30586456267481,6.56974530499372,2.13922923452831,1.11811092058474,2.09910560344277,1.25659625217123,1.58170064520745,0.588955029896718,8.09000222840989,2.92632328335352,6.69931761966402,2.13620684801187,3.18701630682524,1.40064582689414,7.56188656924053,2.39299635135711,7.73762288913053,2.27375255722258,3.38897439922768,0.733277872112113,7.76123500174568,0,7.08658005286163,0.462823577673961,2.66647445595808,4.69531497640649,2.91178648058055,0,2.56675665228114,8.15628412091698,3.02693263633906,7.66415831351606,1.87870372837215,1.0892048412023,10.4531057041622,1.32818248936409,2.54771095367706,2.15779262642156,7.02803976132757,0.891036004226655,5.40139665154773,0.764870672394279,1.7171157611171,0,0,3.01613050759558,7.0796382708928,1.25024850734556,3.1178310718652,8.34417147309569,0,7.01048500832508,1.29017527474048,1.02161524113735,2.07661281416441,7.31498897052047,0,0,0,2.14775818931962,8.02109706125406,10.1096114673651,0,0,1.15937522308033,6.64290572654512,0,1.445450071949,5.0199161478639,2.33725204080983,1.32046637386361,0,0,1.77112453093846,0,9.75721630590385,0,1.24486993486484,0.886015401610361,9.32982804545848,9.49138575103536,0,1.17782213077766,2.26535983666296,1.98779622229326,2.11929804825429,8.56261076525038,1.14292213035915,7.43926559554103,5.63050573800575,1.11532015944965,8.69632854751621,0.662134963498714,2.76453796374259,7.58388238296421,9.11916462167771,5.49488491893691,0,2.11478453105817,1.68737002026849,1.73556465549943,0.616255804805335,1.70556857890008
"ENSMUSG00000051910",2.57952782006804,0,0,0,0,1.22567779131035,0,1.5708539180375,0,0,1.4632082392295,0,7.81868019753571,9.11129224599119,1.09987384524541,0.848320444810964,2.07875550806297,1.24235477174918,0,1.39401844664854,0,1.8035747606308,6.31089528067781,1.66394859687993,2.24725467611219,1.24277408406145,0,0,0,0.569607447137051,0.865893632532943,0,0.86150080082926,0,0,2.3130849113459,0,1.62550867129883,0,0,0,0.680908486296312,0.478210067900442,3.0026472998434,0.444534933406537,8.20316698407173,1.34674341170981,6.20989686312575,0.827204512593852,1.05252399632069,1.34423796046204,1.33119171927287,0.740755741907091,0,1.47168060676751,1.09429605226365,0,2.09910560344277,0,0,0.588955029896718,0,0,2.49200170122579,2.60740623034406,0,0,1.0356372260742,1.43348749044592,8.17546938249696,5.03484458760644,1.36697002742986,0.733277872112113,0,2.30682042954154,6.9533141550149,0,5.45253173345646,7.39842361042133,0,1.91238614288399,0,0,0,0.925269915759469,0,0.460329275232209,0,0,2.89970625088964,0,0,0.891036004226655,0.895062630621889,0,0,0.360755510502502,0,3.01613050759558,0,0,1.98337159434441,0,1.14733430493588,0,0,1.02161524113735,0,0,1.86692669209532,1.81224355291811,0.548976815282572,0,0.760226285804745,0,0,0,0,0.913293888200977,0,0.896650730110461,1.56817860340828,2.33725204080983,0,0,0,0,0.869290379276498,3.32704003938833,0,0,0,0,1.15076576610858,1.22819786149267,0,1.53797766204151,0,0,2.0147484015161,0,0,1.25510259961236,0,0,0,2.28200547540767,0,1.79370847635815,1.43079305888395,1.22846814583548,0,1.68737002026849,5.4243095811153,0,1.70556857890008
"ENSMUSG00000019789",0,0,0,0,0,0,0,0,1.68808183436461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101000101328076,0,0,0,0,0,0,0,0.865893632532943,0,0,0,0,0,0,0,0,0,0,0,0.478210067900442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489529460442979,0,0,0,0,0.629223695470213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79600496751618,0,0,0,0,0,1.47118075272525,0,0,0,0,0,0,0,0,0,0,0,0,0.548976815282572,0,0,0,0,0,0,0,0,0,0,0,0,1.18745050762379,0,0,0,0,0,0,0,1.12648877073629,0,0,0,0.964905601859982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000030486",0,0,0,0,0,0,0,0,0,0,0,0,0,2.00898391318015,0,0.848320444810964,0,0,0,0,0,0,0,1.66394859687993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0026472998434,0.783876271203683,0,0.825123596197195,1.21889670009124,0.472094735381451,0.620190101473768,1.34423796046204,0,8.81356669886928,0,0,0,0,0,1.25659625217123,7.21430587893108,0,0.489529460442979,1.67832830407239,0,1.43190294461854,0,0.629223695470213,0,0.887910647790953,0,0,8.76063186551336,0,0,0,0,0,0,0,0,0,0,0,0,0.535574991802586,0,0,0,2.46795363259954,0,0,0,0,0,1.26209354413649,1.33639177114135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46815635281221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055116",0,7.86569873370631,0,1.57575220513395,5.86770178502872,1.87864920094632,0,2.30498116309543,1.68808183436461,7.69377665306765,6.19072425138871,1.29642349985612,8.26947092593626,1.32911969540937,0,0,2.07875550806297,0,7.14407741934265,0,0,2.11140586367271,0.195389661773446,0,8.87873274610051,0.541525224660689,0,1.63030107684029,0,0.111948221296259,0.865893632532943,3.52888911756322,0,3.78108119902987,7.88819851855306,2.3130849113459,1.55926706457458,3.75628209173743,7.51295943818871,8.15891236716178,1.85407524932222,2.20754737015715,8.60181571992558,0,0,1.12561390275763,0,0,0.472094735381451,0,0,0,0.740755741907091,3.30586456267481,1.47168060676751,0,2.1737276978292,1.40174974791195,0,0,0,7.57035562645027,8.0621477309539,7.19678162817174,8.44044067775886,2.55197197327873,0.629223695470213,0.336288793523637,0,1.21889951739823,1.67440724675571,2.87127821815286,0,5.70048226891088,5.47336657854585,0,0.462823577673961,0,7.53385740979818,0,1.91238614288399,2.56675665228114,7.71380469209041,0,6.54845309784038,1.87870372837215,0,0,1.32818248936409,0,0,2.7561892619517,1.43776824744877,2.81102588790488,7.98537279010095,8.94730459867207,8.34246507541987,3.1993702990555,3.01613050759558,0,0,0.669781659387376,0,0,0,0,7.5662435634969,0,0.983124902598781,0,0,0,0,1.62352454651443,0,0,0,0,0,6.82530833324432,6.87448649973189,0,2.33725204080983,7.74911835217102,0,0,2.5426042556093,0.869290379276498,9.14009505722285,0,0,0,1.12648877073629,0,1.22819786149267,1.17782213077766,1.53797766204151,7.28941461835776,1.4181426946959,2.47551333772625,7.50970989239739,8.06976955120337,2.98808587737054,8.57019730524656,0,7.11323938281674,6.66465243479261,7.22611543778874,1.1593222739744,7.26336672691158,0,1.68743497995824,0,1.35241882424565,7.14109069450006,5.75880951762533
"ENSMUSG00000031365",2.57952782006804,1.15207892632712,2.49158634307981,8.25767043708967,6.2103209895047,0,0,5.33685821827734,0,6.01330764635986,0,6.02397518829118,0,0,1.71664811178215,0,0,0,1.39673965834653,2.08956381472643,0.845508315181635,0.872064706928352,0.195389661773446,5.32332949933811,1.16945155603614,0.541525224660689,0,0,1.79807507476446,3.79803583205258,2.75644206519869,8.30959581075215,2.09346205552019,0,1.73801023059881,8.43605257027536,7.48244280792921,8.03170765334642,0.6740833798422,0,0.904374771162929,0,0.478210067900442,3.0026472998434,3.56392207271435,0.669908327284478,7.97612424066902,6.84775931862297,1.89136255355152,0.620190101473768,0,0.590116300441331,0,2.44483582082943,0,1.70936896089037,1.74038847164395,0,1.25659625217123,4.94945893799816,8.94561092175059,0.489529460442979,2.92632328335352,2.16001162851808,2.60740623034406,8.88521514357646,1.40064582689414,1.36458833432285,9.08869767768746,1.21889951739823,1.4026738217479,6.80154416920361,1.21712135679422,0.940314529995232,3.15312889905407,7.29373708556851,8.66162381639542,0,0,2.09178360135491,2.70677887928213,1.15781333212364,4.42968736131197,6.09637461279642,1.23177599302966,0,0.460329275232209,0,7.801525041775,0,1.10708875939626,0,0.891036004226655,0.895062630621889,0,0,0.649106212607763,7.96486950646292,0,2.71276476895129,1.25024850734556,1.12542917836509,4.18844456919689,8.40679728882622,5.14028546718514,3.95007423531946,0,2.07661281416441,3.42860128080068,1.86692669209532,0,1.25649328377536,8.27530878423354,0,9.2478480616767,1.78163196240139,4.14968907796177,1.79377669719658,0.913293888200977,8.6496655856701,0.896650730110461,4.06371076968709,0,2.45743799529192,1.18745050762379,6.0865138466485,1.77112453093846,0,4.95969229290591,2.87821979051761,8.24897327981683,0.886015401610361,8.40186585097316,6.92850532238479,7.96235932434632,0,0,1.12863830004116,8.09594146360306,0,0,8.65690017142827,1.25510259961236,5.16964141211602,2.52977165841585,1.73538809210306,0,1.79852891621061,1.79370847635815,2.96047369771549,8.43545112494463,1.68743497995824,9.51492540131962,0.829199571324653,1.64688471580497,0
