Set number,replicate,Treatment,Time day,Acetate,Propanoate,Isobutyrate,Butyrate,Isopentanoate,Pentanoate,Isohexanoate,Hexanoate
2,1,Acetate,1,10.9,0,0,0,0,0,0,0
2,2,Acetate,1,11.2,0,0,0,0,0,0,0
2,3,Acetate,1,12.8,0,0,0,0,0,0,0
2,1,Acetate,2,5.6,0,0,0,0,0,0,0
2,2,Acetate,2,5.3,0,0,0,0,0,0,0
2,3,Acetate,2,6.1,0,0,0,0,0,0,0
2,1,Acetate,3,1.2,0,0,0,0,0,0,0
2,2,Acetate,3,0.9,0,0,0,0,0,0,0
2,3,Acetate,3,1.1,0,0,0,0,0,0,0
2,1,Acetate,4,0.1,0,0,0,0,0,0,0
2,2,Acetate,4,0,0,0,0,0,0,0,0
2,3,Acetate,4,0,0,0,0,0,0,0,0
2,1,Acetate,5,0,0,0,0,0,0,0,0
2,2,Acetate,5,0,0,0,0,0,0,0,0
2,3,Acetate,5,0,0,0,0,0,0,0,0
2,1,Acetate,6,11.8,0,0,0,0,0,0,0
2,2,Acetate,6,11.2,0,0,0,0,0,0,0
2,3,Acetate,6,12,0,0,0,0,0,0,0
2,1,Acetate,7,4.9,0,0,0,0,0,0,0
2,2,Acetate,7,4.3,0,0,0,0,0,0,0
2,3,Acetate,7,4.8,0,0,0,0,0,0,0
2,1,Acetate,8,0.3,0,0,0,0,0,0,0
2,2,Acetate,8,0.5,0,0,0,0,0,0,0
2,3,Acetate,8,0.9,0,0,0,0,0,0,0
2,1,Acetate,9,0,0,0,0,0,0,0,0
2,2,Acetate,9,0,0,0,0,0,0,0,0
2,3,Acetate,9,0,0,0,0,0,0,0,0
2,1,Acetate,10,0,0,0,0,0,0,0,0
2,2,Acetate,10,0,0,0,0,0,0,0,0
2,3,Acetate,10,0,0,0,0,0,0,0,0
2,1,Hexanoic,1,0,0,0,0,0,0,0,4.8
2,2,Hexanoic,1,0,0,0,0,0,0,0,5.2
2,3,Hexanoic,1,0,0,0,0,0,0,0,5.3
2,1,Hexanoic,2,0,0,0,0,0,0,0,4
2,2,Hexanoic,2,0,0,0,0,0,0,0,4.2
2,3,Hexanoic,2,0,0,0,0,0,0,0,4.5
2,1,Hexanoic,3,2.4,0,0,0,0,0,0,2.3
2,2,Hexanoic,3,2.7,0,0,0,0,0,0,2.6
2,3,Hexanoic,3,1.9,0,0,0,0,0,0,2.4
2,1,Hexanoic,4,1,0,0,0,0,0,0,0
2,2,Hexanoic,4,1.2,0,0,0,0,0,0,0
2,3,Hexanoic,4,0.9,0,0,0,0,0,0,0
2,1,Hexanoic,5,0,0,0,0,0,0,0,0
2,2,Hexanoic,5,0,0,0,0,0,0,0,0
2,3,Hexanoic,5,0,0,0,0,0,0,0,0
2,1,Hexanoic,6,0.5,0,0,0,0,0,0,4.2
2,2,Hexanoic,6,0.3,0,0,0,0,0,0,4.1
2,3,Hexanoic,6,0.6,0,0,0,0,0,0,3.9
2,1,Hexanoic,7,2.1,0,0,0,0,0,0,3.6
2,2,Hexanoic,7,2.4,0,0,0,0,0,0,3.2
2,3,Hexanoic,7,2.7,0,0,0,0,0,0,3.5
2,1,Hexanoic,8,1.2,0,0,0,0,0,0,1.3
2,2,Hexanoic,8,1.5,0,0,0,0,0,0,1.1
2,3,Hexanoic,8,1.3,0,0,0,0,0,0,1.6
2,1,Hexanoic,9,0.2,0,0,0,0,0,0,0
2,2,Hexanoic,9,0.6,0,0,0,0,0,0,0
2,3,Hexanoic,9,0.1,0,0,0,0,0,0,0
2,1,Hexanoic,10,0,0,0,0,0,0,0,0
2,2,Hexanoic,10,0,0,0,0,0,0,0,0
2,3,Hexanoic,10,0,0,0,0,0,0,0,0
2,1,Decanoic,1,0,0,0,0,0,0,0,0
2,2,Decanoic,1,0,0,0,0,0,0,0,0
2,3,Decanoic,1,0,0,0,0,0,0,0,0
2,1,Decanoic,2,0,0,0,0,0,0,0,0
2,2,Decanoic,2,0,0,0,0,0,0,0,0
2,3,Decanoic,2,0,0,0,0,0,0,0,0
2,1,Decanoic,3,0.3,0,0,0,0,0,0,0.1
2,2,Decanoic,3,0.4,0,0,0,0,0,0,0
2,3,Decanoic,3,0.5,0,0,0,0,0,0,0.2
2,1,Decanoic,4,3,0,0,0,0,0,0,0.8
2,2,Decanoic,4,3.2,0,0,0,0,0,0,0.9
2,3,Decanoic,4,4,0,0,0,0,0,0,1.1
