xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-1000007,127,134.5,51.817950557697664,173.5,152.5,215.5,244,1041,0
XB-GENE-1000023,292,408.75,161.15013703582963,517.1666666666666,546,609.75,725,3103,0
XB-GENE-1000062,65,70.5,32.72562706300166,95.16666666666667,83.5,120.5,140,571,0
XB-GENE-1000072,42,51,30.88958832141773,70.16666666666667,54.5,96.25,110,421,0
XB-GENE-1000113,115,168.5,46.89847190118956,189.66666666666666,192.5,227.75,238,1138,0
XB-GENE-1000132,58,75.25,36.65742307727954,100.83333333333333,93.5,131.25,147,605,0
XB-GENE-1000149,9,17.5,9.077444574328174,23,28,28.75,30,138,0
XB-GENE-1000161,0,0,0.408248290463863,0.16666666666666666,0,0,1,1,5
XB-GENE-1000188,0,0,1.7511900715418263,1.3333333333333333,0.5,2.5,4,8,3
XB-GENE-1000251,2949,3512.75,2762.8850681850668,5442.5,5198,5675.75,10524,32655,0
XB-GENE-1000265,40,83,44.809225240642874,100.33333333333333,95,112.25,175,602,0
XB-GENE-1000295,0,0,0.5163977794943222,0.3333333333333333,0,0.75,1,2,4
XB-GENE-1000329,24,27,13.136463248023292,37.833333333333336,37,44.75,58,227,0
XB-GENE-1000363,9,13.25,6.54217089351845,18,19.5,22,26,108,0
XB-GENE-1000372,0,1.25,1.3291601358251257,1.8333333333333333,2,2,4,11,1
XB-GENE-1000382,106,135.5,51.41757157496517,166.83333333333334,158,190.25,250,1001,0
XB-GENE-1000419,0,0,2.345207879911715,1.5,0.5,1.75,6,9,3
XB-GENE-1000437,20,21.5,11.565754046609614,29.166666666666668,26,30.5,51,175,0
XB-GENE-1000470,47,52.25,48.50326449494577,83.16666666666667,63.5,92.75,174,499,0
XB-GENE-1000482,26,31,13.367871932360812,40.5,37.5,48.5,61,243,0
XB-GENE-1000491,72,108.25,49.395006495258876,137.33333333333334,131,171,205,824,0
XB-GENE-1000531,65,84.25,25.812141845779994,98.33333333333333,92.5,120.25,129,590,0
XB-GENE-1000542,87,128.75,45.789372857319925,149.66666666666666,140,182.75,209,898,0
