Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id
1,7.038137894401305e-117,1.9706786104323156e-114,1.5969100793979987,1.5969100793979987,ENSMUSG00000028639
2,4.736622223753693e-90,6.631271113255179e-88,3.03516471541103,3.03516471541103,ENSMUSG00000024053
3,1.832630232166606e-88,1.710454883355508e-86,3.2610562606975426,3.2610562606975426,ENSMUSG00000041329
4,4.211954153420369e-79,2.948367907394257e-77,-2.146490808164349,-2.146490808164349,ENSMUSG00000030336
5,5.855863532040066e-79,3.2792835779423916e-77,-3.056730391790204,-3.056730391790204,ENSMUSG00000016494
6,2.7085938206015105e-78,1.2640104496140428e-76,3.0008098684068374,3.0008098684068374,ENSMUSG00000002808
7,2.0298378976676465e-68,8.119351590670538e-67,-2.7185180056802616,-2.7185180056802616,ENSMUSG00000027611
8,4.85658105982291e-65,1.6998033709380143e-63,-2.9063764890862256,-2.9063764890862256,ENSMUSG00000030745
9,3.19341048283581e-62,9.935054835489265e-61,2.7202264532309988,2.7202264532309988,ENSMUSG00000035206
10,9.552916953393326e-55,2.6748167469501277e-53,-2.4724616295657262,-2.4724616295657262,ENSMUSG00000059588
11,7.687804820371209e-53,1.9568957724581148e-51,2.3099481252776473,2.3099481252776473,ENSMUSG00000022797
12,1.0263494249376003e-51,2.394815324854405e-50,2.041176583481172,2.041176583481172,ENSMUSG00000026837
13,1.5878942552614414e-51,3.4200799344092465e-50,-2.572539184492605,-2.572539184492605,ENSMUSG00000021728
14,7.495359312207863e-51,1.4990718624415824e-49,-2.504061414624027,-2.504061414624027,ENSMUSG00000025780
15,1.5986746905153756e-50,2.9841927556287093e-49,1.8304106699167588,1.8304106699167588,ENSMUSG00000030062
16,2.71738500838027e-50,4.755423764665452e-49,2.3371399786254017,2.3371399786254017,ENSMUSG00000030117
17,1.541211368787565e-49,2.5384657838854022e-48,2.2862178604929944,2.2862178604929944,ENSMUSG00000031170
18,9.533726636406457e-49,1.4830241434410134e-47,-2.096393070398254,-2.096393070398254,ENSMUSG00000038235
19,8.802654388760161e-45,1.2972332783435955e-43,-2.145073189211317,-2.145073189211317,ENSMUSG00000022309
20,3.718379557661101e-42,5.205731380725524e-41,-2.118433032103356,-2.118433032103356,ENSMUSG00000034881
21,8.700122625339168e-41,1.1600163500452184e-39,-1.3378209156558043,-1.3378209156558043,ENSMUSG00000031785
22,1.846550789065051e-40,2.2880668412418883e-39,-1.99519437449749,-1.99519437449749,ENSMUSG00000001946
23,1.8794834767344155e-40,2.2880668412418883e-39,-1.949252858322039,-1.949252858322039,ENSMUSG00000054641
24,2.3151063072742863e-40,2.7009573584866672e-39,1.7455357832561522,1.7455357832561522,ENSMUSG00000047953
25,3.150450329369755e-40,3.528504368894117e-39,1.649902512840453,1.649902512840453,ENSMUSG00000062585
26,2.943254493830995e-39,3.1696586856641323e-38,-1.755701645568557,-1.755701645568557,ENSMUSG00000026395
27,4.393302950095724e-38,4.556017874173326e-37,1.2893520027710101,1.2893520027710101,ENSMUSG00000021427
28,4.468989031281684e-37,4.4689890312817044e-36,2.0501036047748853,2.0501036047748853,ENSMUSG00000020238
29,2.4651689419469923e-34,2.3801631163626196e-33,-1.6630307147710437,-1.6630307147710437,ENSMUSG00000036594
30,8.024821198053957e-33,7.489833118183701e-32,1.0153301449653611,1.0153301449653611,ENSMUSG00000023175
31,8.34525519673115e-31,7.53764985511201e-30,-1.6038548022731367,-1.6038548022731367,ENSMUSG00000022636
32,8.593188729488062e-30,7.519040138302009e-29,-1.4672353955283424,-1.4672353955283424,ENSMUSG00000024462
33,1.23081734753732e-29,1.0443298706377224e-28,-1.2567827395896707,-1.2567827395896707,ENSMUSG00000022816
34,3.7195154410211523e-29,3.063130363193886e-28,-1.6526440265834301,-1.6526440265834301,ENSMUSG00000026923
35,1.7963543738919113e-28,1.4370834991135269e-27,-1.6582342401282457,-1.6582342401282457,ENSMUSG00000026072
36,2.147987940385124e-28,1.6706572869662028e-27,1.69256098628414,1.69256098628414,ENSMUSG00000032336
37,2.686212523708659e-28,2.0328094774011514e-27,1.4860131851126577,1.4860131851126577,ENSMUSG00000000555
38,6.139240120181982e-27,4.523650614870933e-26,1.162138207894417,1.162138207894417,ENSMUSG00000027642
39,5.605639197783864e-26,4.024561475332001e-25,-1.6369910803625816,-1.6369910803625816,ENSMUSG00000025351
40,2.7430846584648055e-25,1.8891565487850473e-24,1.7585307951928915,1.7585307951928915,ENSMUSG00000015355
41,2.766264946435242e-25,1.8891565487850473e-24,-1.2657030256110136,-1.2657030256110136,ENSMUSG00000024109
42,6.285415594015999e-25,4.19027706267734e-24,1.558092023679038,1.558092023679038,ENSMUSG00000038280
43,1.3800143341288877e-24,8.986139850141564e-24,1.1377051237673044,1.1377051237673044,ENSMUSG00000020402
44,8.779616777833522e-24,5.587028858621319e-23,-1.6498127274227636,-1.6498127274227636,ENSMUSG00000027435
45,2.0615901780834885e-23,1.2827672219186126e-22,-1.200720310246429,-1.200720310246429,ENSMUSG00000004207
46,4.7574920970798044e-23,2.8958647547442325e-22,-1.1899367133681813,-1.1899367133681813,ENSMUSG00000003420
47,6.429325861992489e-22,3.8302366837402025e-21,-1.1957870049053971,-1.1957870049053971,ENSMUSG00000004631
48,8.390810484361179e-22,4.894639449210678e-21,-1.4672968736309075,-1.4672968736309075,ENSMUSG00000030748
