sample_id stage treatment sibling_rep
S14_C_5 stage_14 control five
S14_C_6 stage_14 control six
S14_C_A stage_14 control A
S14_F_5 stage_14 FGF five
S14_F_6 stage_14 FGF six
S14_F_A stage_14 FGF A
S20_C_5 stage_20 control five
S20_C_6 stage_20 control six
S20_C_A stage_20 control A
S20_F_5 stage_20 FGF five
S20_F_6 stage_20 FGF six
S20_F_A stage_20 FGF A
S30_C_5 stage_30 control five
S30_C_6 stage_30 control six
S30_C_A stage_30 control A
S30_F_5 stage_30 FGF five
S30_F_6 stage_30 FGF six
S30_F_A stage_30 FGF A
