xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-1000007,68,85.5,46.66797617210329,118.5,117.5,130.75,198,711,0
XB-GENE-1000023,269,299,180.48130097048835,453.5,438.5,568.25,711,2721,0
XB-GENE-1000062,95,112,55.82024722267002,159.5,165,192.5,236,957,0
XB-GENE-1000072,65,82.25,45.24046860942092,114.5,105,142,183,687,0
XB-GENE-1000113,93,95.75,34.59142475624077,126.83333333333333,123,159.25,164,761,0
XB-GENE-1000132,86,117.75,49.117885405080976,150.83333333333334,153,178.5,220,905,0
XB-GENE-1000149,2,5,4.844240566555986,7.333333333333333,6,8.5,16,44,0
XB-GENE-1000188,1,4,7.211102550927978,7,4,7,21,42,0
XB-GENE-1000251,7990,9866.25,4933.720519715995,13848.833333333334,14240,17076.25,20193,83093,0
XB-GENE-1000265,87,116.75,67.0184054321398,165.33333333333334,159.5,206.75,261,992,0
XB-GENE-1000329,29,37.25,22.542552354750487,55.833333333333336,56.5,76.5,79,335,0
XB-GENE-1000363,8,13.25,5.00666222813829,15.333333333333334,15.5,17,23,92,0
XB-GENE-1000382,117,143.5,53.69916200463467,180,182,195.75,268,1080,0
XB-GENE-1000437,43,66,52.29308431013289,105.16666666666667,104,134.5,182,631,0
XB-GENE-1000470,15,21.75,20.18662923818635,39.5,43.5,54.75,62,237,0
XB-GENE-1000482,24,40.5,28.244763526478085,61.166666666666664,63,81,97,367,0
XB-GENE-1000491,58,93,47.797140779200035,124.16666666666667,125,163.75,178,745,0
XB-GENE-1000531,83,113,44.09724103236694,134.83333333333334,118,167.25,195,809,0
XB-GENE-1000542,115,158,91.44269608157158,228.83333333333334,234,289,350,1373,0
XB-GENE-1000552,241,327,201.29547105354027,499.6666666666667,561.5,662.5,689,2998,0
XB-GENE-1000567,219,230.25,65.29216389940424,282.3333333333333,270.5,314.5,388,1694,0
XB-GENE-1000580,4174,4683.75,2149.5358336161785,6651.5,7033.5,8486.25,8797,39909,0
XB-GENE-1000594,24,25,8.376554582086042,29.166666666666668,26,27.75,46,175,0
XB-GENE-1000606,3,4.25,3.1885210782848317,6.166666666666667,5.5,6.75,12,37,0
XB-GENE-1000619,21,31.25,18.65922470700931,43.833333333333336,44.5,51,73,263,0
XB-GENE-1000638,58,71.5,21.087911228948208,85.5,85,98.5,115,513,0
XB-GENE-1000678,1112,1216.75,542.0381597882815,1582.8333333333333,1426,1717.75,2571,9497,0
XB-GENE-1000687,121,164.25,93.77295274580334,240.16666666666666,251,316.75,344,1441,0
XB-GENE-1000706,22,51.25,38.01929334780785,77.33333333333333,87,104.75,118,464,0
XB-GENE-1000765,605,693.5,268.7204247292466,852.3333333333334,782.5,893.25,1350,5114,0
XB-GENE-1000779,5,11.25,5.115336417740935,13.166666666666666,13.5,15.75,20,79,0
XB-GENE-1000791,6,8.25,2.041241452319315,9.166666666666666,9.5,10,12,55,0
XB-GENE-1000815,27,34.5,11.856081421222893,41.833333333333336,40.5,48,60,251,0
XB-GENE-1000834,1,3.25,1.378404875209022,3.5,4,4,5,21,0
XB-GENE-1000845,250,302.5,131.48941655763275,360.3333333333333,318,349.25,619,2162,0
XB-GENE-1000854,34,36.25,10.381072520056232,44.166666666666664,43.5,47,62,265,0
XB-GENE-1000959,103,115.5,52.949032096913726,151,142.5,157.5,249,906,0
XB-GENE-1000971,93,128.25,80.22967032214454,188,179.5,257.75,281,1128,0
XB-GENE-1000983,723,1121.5,646.732531010051,1604.1666666666667,1879.5,1946,2306,9625,0
