gene_id,gene_name,CTR1,CTR2,CTR3,CTR4,CTR5,CTR6,LWR1,LWR2,LWR3,LWR4,LWR5,LWR6
AT1G30814,AT1G30814,1172,1635,1199,1212,1257,1239,2329,2015,1894,1784,2047,2330
AT1G78930,AT1G78930,318,348,283,337,257,274,388,367,377,372,395,410
AT1G71695,AT1G71695,52,59,69,63,48,57,73,61,48,55,61,78
AT1G58983,AT1G58983,1533,2076,1572,1743,1609,1644,1254,951,1122,1259,1445,1269
AT1G12980,ESR1,0,3,1,2,2,5,0,0,0,1,1,2
AT1G45223,AT1G45223,1809,2299,2033,2058,1813,1691,1134,1099,1288,1345,1448,1303
AT1G56250,PP2-B14,581,850,740,752,644,620,921,790,731,786,844,948
AT1G66852,AT1G66852,353,561,524,379,387,394,216,227,330,373,314,272
AT1G69810,WRKY36,105,147,114,132,126,85,53,59,66,66,83,83
AT1G72450,JAZ6,3819,4560,3486,4545,3706,3605,1691,1705,2021,2310,2250,1936
AT1G76280,AT1G76280,6632,7191,6158,8620,6329,5723,4938,5208,5109,5476,5273,5345
AT1G65630,DEG3,299,354,319,430,299,284,194,195,192,217,238,228
AT1G71390,RLP11,1246,1828,1083,1257,1168,1138,1178,936,1144,1263,1454,1243
AT1G56233,AT1G56233,8,6,2,6,7,13,2,3,3,6,9,6
AT1G15210,ABCG35,42,76,40,20,32,24,16,11,29,14,22,18
AT1G15250,AT1G15250,3,8,3,3,2,3,0,2,3,3,3,2
AT1G79700,WRI4,960,1050,1044,1008,836,858,1148,1124,970,1039,1127,1115
AT1G62895,AT1G62895,132,136,140,140,138,114,65,124,89,88,76,78
AT1G73360,HDG11,350,519,420,320,435,325,171,139,134,208,215,209
AT1G16360,AT1G16360,0,0,0,0,0,0,0,0,0,0,0,0
AT1G10225,AT1G10225,1359,1911,1157,1346,1114,1234,523,499,490,616,495,566
AT1G26670,VTI1B,80,117,93,108,104,96,44,41,70,55,79,73
AT1G34855,AT1G34855,368,393,380,495.64,392,344.63,399,350,356,379,388,400
AT1G52200,AT1G52200,749,841,686,680,654,651,544,396,520,559,593,505
