gene_id,SRX028958_spl7_suf,SRX028959_spl7_def,SRX028962_spl7_suf,SRX028963_spl7_def
AT1G01010,60,26,272,343
AT1G01020,105,28,148,187
AT1G01030,9,2,54,46
AT1G01040,188,35,328,330
AT1G01046,0,0,0,3
AT1G01050,729,127,698,584
AT1G01060,94,28,165,104
AT1G01070,83,22,205,237
AT1G01080,348,54,65,74
AT1G01090,1011,172,1027,620
AT1G01100,1337,287,1840,2086
AT1G01110,45,10,59,70
AT1G01120,138,14,158,141
AT1G01130,4,0,9,10
AT1G01140,399,138,14,19
AT1G01150,6,3,15,19
AT1G01160,240,47,241,277
AT1G01170,546,98,84,216
AT1G01180,48,13,156,159
AT1G01183,0,0,2,1
AT1G01190,8,1,230,154
AT1G01200,17,2,21,17
AT1G01210,86,23,91,76
AT1G01220,171,36,158,183
AT1G01225,20,3,59,73
AT1G01230,291,65,303,324
AT1G01240,468,108,202,305
AT1G01250,54,13,12,15
AT1G01260,92,22,156,187
AT1G01270,0,0,0,0
AT1G01280,2,2,15,27
AT1G01290,126,39,126,138
AT1G01300,306,23,377,282
AT1G01305,2,1,7,12
AT1G01310,6,4,11,15
AT1G01320,1075,319,145,166
AT1G01335,0,0,0,0
AT1G01340,33,19,573,834
AT1G01350,148,28,190,166
AT1G01355,7,3,12,22
AT1G01360,215,39,279,237
AT1G01370,34,4,56,45
AT1G01380,20,2,17,26
AT1G01390,23,5,22,17
AT1G01400,8,2,11,11
AT1G01410,2,1,9,16
AT1G01420,50,15,40,69
AT1G01430,290,35,184,173
AT1G01440,111,30,161,213
AT1G01448,136,28,221,262
AT1G01450,13,0,16,12
AT1G01453,6,3,15,26
AT1G01460,15,2,13,27
AT1G01470,1703,394,300,214
AT1G01480,33,26,50,73
AT1G01490,469,133,446,647
AT1G01500,219,66,148,204
AT1G01510,286,41,263,297
AT1G01520,22,14,17,20
AT1G01530,3,0,3,8
AT1G01540,292,37,223,169
AT1G01550,1173,255,2002,2387
AT1G01560,67,47,25,57
AT1G01570,18,5,17,26
AT1G01580,254,4231,542,6523
AT1G01590,14,4,23,35
AT1G01600,41,10,48,50
AT1G01610,242,22,133,117
AT1G01620,609,107,6427,4188
AT1G01630,259,57,258,274
AT1G01640,106,23,532,751
AT1G01650,451,115,323,597
AT1G01660,33,11,75,81
AT1G01670,34,7,70,102
AT1G01680,48,31,33,61
AT1G01690,41,13,53,69
AT1G01695,15,4,30,36
AT1G01700,37,8,54,48
AT1G01710,337,59,191,240
AT1G01715,26,8,36,22
AT1G01720,111,54,64,136
AT1G01725,64,27,120,206
AT1G01730,281,66,396,477
