gene_id,lm_meta_1,lm_meta_2,lm_meta_3
LmxM.00:ncRNA:rfamscan:422967-423060,0,0,0
LmxM.00:ncRNA:rfamscan:422971-423050,0,0,1
LmxM.00:ncRNA:rfamscan:422971-423055,0,0,0
LmxM.00:ncRNA:rfamscan:422974-423063,0,0,0
LmxM.00:ncRNA:rfamscan:423014-423115,5,8,15
LmxM.00:ncRNA:rfamscan:423026-423143,7,10,20
LmxM.00:ncRNA:rfamscan:448324-448416,23,25,65
LmxM.00:ncRNA:rfamscan:525827-525994,13,16,38
LmxM.00:ncRNA:rfamscan:525843-525979,9,23,26
LmxM.00:ncRNA:rfamscan:526451-526539,0,0,0
LmxM.00:ncRNA:rfamscan:526638-526710,0,0,0
LmxM.00:ncRNA:rfamscan:530824-530902,0,0,0
LmxM.00:ncRNA:rfamscan:539732-539784,0,0,0
LmxM.00:ncRNA:rfamscan:540103-540191,0,0,0
LmxM.00:ncRNA:rfamscan:540290-540362,0,0,0
LmxM.00:ncRNA:rfamscan:544014-544163,7,1,3
LmxM.00:ncRNA:rfamscan:544021-544161,0,0,0
LmxM.00:ncRNA:rfamscan:544021-544168,0,0,0
LmxM.00:ncRNA:rfamscan:544024-544148,0,0,0
LmxM.00:ncRNA:rfamscan:544029-544147,0,0,0
LmxM.00:ncRNA:rfamscan:544037-544146,0,0,0
LmxM.00:ncRNA:rfamscan:544037-544150,0,0,0
LmxM.00:ncRNA:rfamscan:544037-544155,0,0,0
LmxM.00:ncRNA:rfamscan:544039-544144,0,0,0
LmxM.00:ncRNA:rfamscan:544040-544143,0,0,0
LmxM.00:ncRNA:rfamscan:544041-544144,0,0,0
LmxM.00:ncRNA:rfamscan:544043-544140,0,0,0
LmxM.00:ncRNA:rfamscan:544043-544147,0,0,0
LmxM.00:ncRNA:rfamscan:544045-544136,0,0,0
LmxM.00:ncRNA:rfamscan:544047-544138,0,0,0
LmxM.00:ncRNA:rfamscan:637837-637919,12,25,39
LmxM.00:ncRNA:rfamscan:637845-637904,22,25,46
LmxM.00:ncRNA:rfamscan:708666-708725,0,0,0
LmxM.00:ncRNA:rfamscan:725839-725959,0,0,0
LmxM.00:ncRNA:rfamscan:767289-767361,0,0,0
LmxM.00:ncRNA:rfamscan:767460-767548,0,0,0
LmxM.00:ncRNA:rfamscan:776827-776899,0,0,0
LmxM.00:ncRNA:rfamscan:777722-778015,0,0,0
LmxM.00:ncRNA:rfamscan:790191-790268,0,0,0
LmxM.00:ncRNA:rfamscan:867027-867099,0,0,0
LmxM.00:ncRNA:rfamscan:867198-867286,0,0,0
LmxM.00:ncRNA:rfamscan:867393-867686,0,0,0
LmxM.00:ncRNA:rfamscan:868509-868581,0,0,0
LmxM.00:ncRNA:rfamscan:868680-868768,0,0,0
LmxM.00:ncRNA:rfamscan:868863-869156,0,0,0
LmxM.00:rRNA:rfamscan:1128121-1128229,12920,11663,21155
LmxM.00:rRNA:rfamscan:576565-576732,463,393,480
LmxM.00:rRNA:rfamscan:655615-655782,11,26,37
LmxM.01.0010,21,23,66
LmxM.01.0020,148,169,333
LmxM.01.0030,47,54,97
LmxM.01.0040,213,185,338
LmxM.01.0050,57,75,135
LmxM.01.0060,21,29,33
LmxM.01.0070,106,119,229
LmxM.01.0080,135,161,203
LmxM.01.0090,20,21,25
LmxM.01.0100,48,41,80
LmxM.01.0110,59,77,85
LmxM.01.0120,56,57,71
LmxM.01.0130,18,15,16
LmxM.01.0140,15,18,30
LmxM.01.0150,87,67,133
LmxM.01.0160,383,501,622
LmxM.01.0170,23,12,32
LmxM.01.0180,96,66,71
