xenbase_gene_id,S14_C_5,S14_C_6,S14_C_A,S14_F_5,S14_F_6,S14_F_A
XB-GENE-1000007,111,77,124,198,68,133
XB-GENE-1000023,347,283,581,530,269,711
XB-GENE-1000062,154,98,176,236,95,198
XB-GENE-1000072,98,77,152,183,65,112
XB-GENE-1000113,93,101,164,164,94,145
XB-GENE-1000132,135,112,171,220,86,181
XB-GENE-1000149,5,2,5,16,7,9
XB-GENE-1000161,0,0,0,0,0,0
XB-GENE-1000188,4,8,4,4,1,21
XB-GENE-1000251,18012,8418,14269,20193,7990,14211
XB-GENE-1000265,161,87,158,261,103,222
XB-GENE-1000295,0,0,0,0,0,0
XB-GENE-1000329,44,35,69,79,29,79
XB-GENE-1000363,13,8,23,17,14,17
XB-GENE-1000372,0,2,1,1,0,1
XB-GENE-1000382,199,132,186,268,117,178
XB-GENE-1000419,0,0,0,0,0,0
XB-GENE-1000437,96,43,182,112,56,142
XB-GENE-1000470,16,15,48,57,39,62
XB-GENE-1000482,54,24,72,84,36,97
XB-GENE-1000491,85,58,133,174,117,178
XB-GENE-1000531,116,112,183,195,83,120
XB-GENE-1000542,250,115,218,350,138,302
XB-GENE-1000552,477,277,689,668,241,646
XB-GENE-1000567,289,252,323,388,223,219
XB-GENE-1000580,5844,4174,8574,8797,4297,8223
XB-GENE-1000594,27,25,25,46,28,24
XB-GENE-1000606,7,12,5,3,4,6
XB-GENE-1000619,44,27,53,73,21,45
XB-GENE-1000638,82,68,102,115,58,88
XB-GENE-1000678,1112,1534,2571,1779,1183,1318
XB-GENE-1000687,228,121,274,331,143,344
XB-GENE-1000706,73,44,118,101,22,106
XB-GENE-1000765,698,692,1350,867,605,902
XB-GENE-1000779,12,11,15,20,5,16
XB-GENE-1000791,9,12,8,10,10,6
XB-GENE-1000815,39,33,50,60,27,42
XB-GENE-1000834,4,1,3,4,4,5
XB-GENE-1000845,301,307,619,356,329,250
XB-GENE-1000854,35,34,47,62,40,47
XB-GENE-1000959,153,103,132,249,110,159
XB-GENE-1000971,135,93,281,224,126,269
XB-GENE-1000983,1883,723,1876,1967,870,2306
XB-GENE-1001017,24,30,59,36,24,33
XB-GENE-1001029,15,8,25,20,18,27
XB-GENE-1001039,25,25,42,48,23,26
XB-GENE-1001059,238,183,468,310,219,301
XB-GENE-1001088,603,356,790,940,345,887
XB-GENE-1001113,87,78,104,128,77,96
XB-GENE-1001131,13,12,12,23,8,27
XB-GENE-1001139,2,3,1,0,0,0
XB-GENE-1001158,517,383,821,779,363,941
XB-GENE-1001182,1,2,0,1,0,1
XB-GENE-1001202,52,67,120,65,67,50
XB-GENE-1001213,522,277,870,677,309,796
XB-GENE-1001247,67,46,76,79,43,45
XB-GENE-1001321,368,207,442,626,202,469
XB-GENE-1001347,3324,1930,4429,4986,1961,5432
XB-GENE-1001378,1,2,1,1,1,2
XB-GENE-1001390,49,52,95,77,44,66
XB-GENE-1001398,327,255,436,536,234,443
XB-GENE-1001421,110,75,114,225,72,128
XB-GENE-1001444,169,120,441,295,160,401
XB-GENE-1001458,72,50,75,99,38,87
XB-GENE-1001470,44,25,102,54,46,63
XB-GENE-1001488,810,401,982,1073,391,867
XB-GENE-1001512,273,178,321,440,175,396
XB-GENE-1001521,6,6,20,12,6,16
XB-GENE-1001532,259,160,220,392,121,343
XB-GENE-1001545,120,93,213,169,75,129
XB-GENE-1001590,289,197,338,403,148,260
XB-GENE-1001617,247,163,321,324,173,264
XB-GENE-1001623,21,16,21,23,12,28
XB-GENE-1001652,1,1,0,1,0,1
XB-GENE-1001661,11,12,21,10,9,27
XB-GENE-1001671,290,171,258,337,136,226
XB-GENE-1001705,202,134,242,298,118,259
XB-GENE-1001715,42,23,30,72,17,70
XB-GENE-1001725,688,385,910,1093,388,1091
XB-GENE-1001737,206,174,312,291,147,267
XB-GENE-1001748,446,361,560,603,376,506
XB-GENE-1001759,32,11,36,77,23,38
XB-GENE-1001776,110,91,174,198,90,176
XB-GENE-1001785,52,52,126,118,44,95
XB-GENE-1001796,51,73,112,136,100,161
XB-GENE-1001807,212,225,316,463,271,377
XB-GENE-1001828,22,11,11,26,6,12
XB-GENE-1001848,9,11,19,12,13,12
XB-GENE-1001862,344,231,459,397,235,389
XB-GENE-1001876,82,56,142,91,59,91
XB-GENE-1001922,158,156,343,267,103,260
XB-GENE-1001944,69,63,93,123,41,53
XB-GENE-1001971,634,512,1372,1385,552,1505
XB-GENE-1001995,461,341,645,783,271,701
XB-GENE-1002009,44,31,31,69,28,57
XB-GENE-1002020,6101,3412,4722,6739,3073,4375
XB-GENE-1002054,68,58,161,138,77,244
XB-GENE-1002072,83,50,86,109,38,70
XB-GENE-1002106,5,2,18,8,1,6
XB-GENE-1002136,170,179,227,263,165,225
XB-GENE-1002146,279,223,344,336,182,306
XB-GENE-1002174,316,224,388,467,217,376
XB-GENE-1002192,195,72,151,402,100,280
XB-GENE-1002225,1904,1665,3140,3107,1612,3109
XB-GENE-1002268,112,82,258,155,61,222
XB-GENE-1002280,118,76,187,143,90,121
XB-GENE-1002296,49,52,84,79,72,55
XB-GENE-1002307,366,176,357,581,195,464
XB-GENE-1002350,72,70,109,106,61,69
XB-GENE-1002360,48,16,43,50,16,60
XB-GENE-1002391,167,98,177,201,100,178
XB-GENE-1002400,653,656,982,851,531,669
XB-GENE-1002420,134,137,223,175,130,117
XB-GENE-1002429,3,1,9,3,2,11
XB-GENE-1002440,8,9,8,12,16,7
XB-GENE-1002454,355,282,505,536,260,445
XB-GENE-1002468,0,0,0,0,0,1
XB-GENE-1002479,116,127,191,204,123,152
XB-GENE-1002488,220,142,232,324,143,266
XB-GENE-1002501,2990,2123,3325,4497,2158,3590
XB-GENE-1002521,159,77,172,211,95,171
XB-GENE-1002533,42,28,39,120,44,55
XB-GENE-1002576,132,105,273,235,98,275
XB-GENE-1002601,1338,1013,1606,1550,931,1128
XB-GENE-1002629,49,61,153,62,59,93
XB-GENE-1002637,46,39,69,68,43,52
XB-GENE-1002648,0,0,0,0,1,0
XB-GENE-1002712,121,75,136,219,82,134
XB-GENE-1002747,304,264,375,365,201,408
XB-GENE-1002775,17,18,35,28,15,35
XB-GENE-1002788,280,145,418,359,169,466
XB-GENE-1002805,337,173,489,374,210,444
XB-GENE-1002819,2,2,1,3,1,0
