xenbase_gene_id,S30_C_5,S30_C_6,S30_C_A,S30_F_5,S30_F_6,S30_F_A
XB-GENE-1018260,0,0,0,10,2,16
XB-GENE-17330117,0,0,0,13,4,17
XB-GENE-17332184,0,0,0,6,19,6
XB-GENE-17342281,0,0,0,42,10,35
XB-GENE-485208,0,0,0,73,17,56
XB-GENE-485796,0,0,0,51,10,44
XB-GENE-486919,0,0,0,108,18,80
XB-GENE-6252072,0,0,0,35,7,38
XB-GENE-6252388,0,0,0,35,7,35
XB-GENE-6252857,0,0,0,21,1,22
XB-GENE-6253886,0,0,0,2,1,20
XB-GENE-6254394,0,0,0,73,6,63
XB-GENE-6466680,0,0,0,21,2,22
XB-GENE-6488002,0,0,0,10,1,26
XB-GENE-6488182,0,0,0,11,5,20
XB-GENE-864885,0,0,0,14,5,14
XB-GENE-865003,0,0,0,68,49,43
XB-GENE-865180,0,0,0,19,5,32
XB-GENE-865309,0,0,0,56,9,66
XB-GENE-865376,0,0,0,39,3,32
XB-GENE-865554,0,0,0,43,8,35
XB-GENE-865614,0,0,0,28,4,70
XB-GENE-866599,0,0,0,14,9,9
XB-GENE-920126,0,0,0,11,4,15
XB-GENE-971141,0,0,0,15,1,17
XB-GENE-972091,0,0,0,5,5,29
