sample_id	tissue	nickel
CTR1  root  control
CTR2  root  control
CTR3  root  control
CTR4  root  control
CTR5  root  control
CTR6  root  control
LWR1  root  low_ni
LWR2  root  low_ni
LWR3  root  low_ni
LWR4  root  low_ni
LWR5  root  low_ni
LWR6  root  low_ni
CTA1  aerial  control
CTA2  aerial  control
CTA3  aerial  control
CTA4  aerial  control
CTA5  aerial  control
CTA6  aerial  control
LWA1  aerial  low_ni
LWA2  aerial  low_ni
LWA3  aerial  low_ni
LWA4  aerial  low_ni
LWA5  aerial  low_ni
LWA6  aerial  low_ni
