sample_id stage treatment sibling_rep
S14_C_1 stage_14 control one
S14_C_2 stage_14 control two
S14_C_3 stage_14 control three
S14_F_1 stage_14 FGF one
S14_F_2 stage_14 FGF two
S14_F_3 stage_14 FGF three
S20_C_1 stage_20 control one
S20_C_2 stage_20 control two
S20_C_3 stage_20 control three
S20_F_1 stage_20 FGF one
S20_F_2 stage_20 FGF two
S20_F_3 stage_20 FGF three
S30_C_1 stage_30 control one
S30_C_2 stage_30 control two
S30_C_3 stage_30 control three
S30_F_1 stage_30 FGF one
S30_F_2 stage_30 FGF two
S30_F_3 stage_30 FGF three
